state,county,food2020,HSgrad2020,unemployed2020,housingProblems2020,singleParent2020,female2020,AUDmortality2014,SUDmortality2014,distress2020,poverty2020
Alabama,Autauga County,13,90,3.6,15,26,51.4,1.45,7.32,14.13,11.2
Alabama,Baldwin County,12,86,3.6,14,24,51.5,2.53,13.3,13.48,8.9
Alabama,Barbour County,22,81,5.2,15,57,47.2,2.72,5.4,16.59,25.5
Alabama,Bibb County,14,84,4,10,29,46.8,1.22,13.03,14.02,17.8
Alabama,Blount County,11,93,3.5,11,29,50.7,1.31,14.38,14.86,13.1
Alabama,Bullock County,25,70,4.7,18,75,45.5,3.05,5.63,15.85,30.8
Alabama,Butler County,21,82,4.8,13,53,53.4,1.61,6.45,16.92,20.6
Alabama,Calhoun County,16,92,4.7,14,40,51.9,1.5,11.51,15.19,14.5
Alabama,Chambers County,18,86,3.9,16,47,52.1,2.35,8.65,15.5,16.3
Alabama,Cherokee County,13,95,3.6,13,24,50.5,1.33,11.15,14.68,14.7
Alabama,Chilton County,13,88,3.6,13,35,50.9,1.15,12.96,15.18,13.9
Alabama,Choctaw County,20,79,5.5,11,48,52.7,2.15,6.68,15.77,20.4
Alabama,Clarke County,23,91,7.5,12,37,52.6,2.38,5.97,16.37,19.5
Alabama,Clay County,15,90,3.9,11,30,51.1,1.95,7.5,15.57,14.2
Alabama,Cleburne County,14,98,4.2,13,25,50.5,1.51,11.37,14.92,14.2
Alabama,Coffee County,14,93,3.9,12,36,50.8,1.43,5.83,14.1,13.9
Alabama,Colbert County,15,92,4.6,14,36,52,1.69,8.31,14.36,14.4
Alabama,Conecuh County,21,80,5.2,13,51,52.1,3.13,10.51,16.98,22.9
Alabama,Coosa County,16,83,4.2,15,40,49.6,3.01,10.27,15.73,17.4
Alabama,Covington County,15,95,4.6,13,36,51.6,2.25,7.12,14.89,17.1
Alabama,Crenshaw County,16,89,4.1,10,41,51.7,3.72,7.56,15.05,16.8
Alabama,Cullman County,12,91,3.3,12,25,50.6,1.37,14.49,14.66,12.5
Alabama,Dale County,16,90,4.2,14,33,50.9,1.81,7.8,15.05,15.5
Alabama,Dallas County,27,86,6.5,21,68,53.8,2.49,6.84,18.03,26.7
Alabama,DeKalb County,12,93,3.8,11,34,50.4,1.75,10.77,16.12,15.2
Alabama,Elmore County,13,86,3.4,11,31,51.7,1.15,6.19,13.83,11.5
Alabama,Escambia County,18,88,4.6,12,46,49.3,4.4,11.19,16.34,20.4
Alabama,Etowah County,15,90,4.1,11,37,51.6,1.49,14.28,15.06,15.6
Alabama,Fayette County,14,92,4.1,12,36,51.2,2.39,16.47,15.31,16.5
Alabama,Franklin County,13,92,3.7,13,42,49.5,1.82,17.26,16.14,17.2
Alabama,Geneva County,15,90,3.9,10,41,51.2,1.54,6.46,15.81,21
Alabama,Greene County,30,78,6.7,19,77,52.8,2.46,6.91,18.46,27.9
Alabama,Hale County,22,91,5.1,17,59,52.4,1.58,6.58,17.03,21.9
Alabama,Henry County,14,98,4.4,11,25,51.8,1.79,6.31,14.83,16.2
Alabama,Houston County,17,91,4,13,42,52,2.25,9.57,15.2,14.8
Alabama,Jackson County,14,90,4.1,11,31,50.9,2.23,10.29,15.8,15.3
Alabama,Jefferson County,18,89,3.7,17,43,52.7,3.71,22.64,14.57,14.4
Alabama,Lamar County,15,94,3.8,11,21,51.1,1.27,9.57,16.12,17.4
Alabama,Lauderdale County,14,94,4.2,13,33,52,2.15,10.38,14.57,13.9
Alabama,Lawrence County,13,88,4.2,11,30,51.3,1.9,13.83,15.35,15.4
Alabama,Lee County,17,91,3.6,19,36,50.8,1.73,5.41,14.72,17.9
Alabama,Limestone County,12,92,3.5,11,26,49.9,1.31,6.71,14.11,10.4
